project;commits;benchmarks;params;forks;iteration1;iteration2;iteration3;iteration4;iteration5;time
jctools;;org.jctools.jmh.latency.spsc.RingCqBurstRoundTripWithGroups.ring;;5;7;14;7;6;7;92.7712
jctools;;org.jctools.jmh.latency.spsc.RingBurstRoundTripWithGroups.ring;;5;8;14;13;16;18;121.98079999999999
jctools;;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=MpscArrayQueue;2;6;8;0;0;0;34.6048
jctools;;org.jctools.jmh.baseline.SingleThreadedPoll.poll;qType=MpscArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=SpmcArrayQueue;3;6;6;14;0;0;57.1232
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg;limit=128000;3;6;8;14;0;0;59.209599999999995
jctools;;org.jctools.maps.nbhm_test.jmh.ConcurrentMapThroughput.randomGetPutRemove;implementation=ConcurrentHashMap&readRatio=50&tableSize=100000;3;6;6;6;0;0;48.7776
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=1;5;11;10;13;50;12;150.1472
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline;limit=128000;5;11;10;11;9;11;104.2464
jctools;;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=SpmcArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=SpscArrayQueue;4;7;18;10;9;0;85.9008
jctools;;org.jctools.jmh.baseline.QueueOfferPoll.offerAndPollLoops;burstSize=1&qCapacity=132000&qType=MpscArrayQueue;5;10;17;27;11;11;129.2832
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=1;5;12;11;22;9;27;134.49919999999997
jctools;;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=SpscArrayQueue;3;7;7;8;0;0;52.9504
