selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,17937004,0,387,38,28,62,7,20672,3149,7,14,1,4873399.1936,hrldcpr/pcollections
YES,58763421,0,0,0,5,44,4,165012,153320,4,4,1,11616.8448,RodrigoRubino/DC-UFSCar-ES2-201601-Grupo-Brainstorm
NO,39406143,1,0,0,0,83,8,7111,6747,8,5,1,2360.852,skinzer/sparkey-java
YES,46370882,0,0,0,5,3,1,1349,1137,1,6,1,2.4282,tweakers-dev/objectpool-benchmarks
NO,78049387,1,0,0,1,1448,27,102267,97425,27,16,1,6397169.0112,Shvid/protostuff
NO,20698188,1,1,0,1,10978,247,777667,620962,247,87,25,3.66912998994828e+10,nezihyigitbasi/presto
YES,47832792,0,6,1,1,9,1,846,602,1,18,1,95.9364,nitsanw/safepoint-experiments
NO,63443798,1,0,0,1,9325,206,722993,535380,206,71,19,9.860717163785e+09,dabaitu/presto
NO,40082671,1,0,0,0,116,10,10884,10744,10,45,6,56814.48,fengshao0907/slice
NO,63559253,1,0,0,0,179,10,121085,22220,10,3,4,65022.645,jacobwil/incubator-pirk
NO,39552449,1,0,0,1,288,10,14756,14095,10,27,2,114742.656,thomasdarimont/JCTools
YES,50428077,0,0,0,1,15,1,1214,846,1,2,1,3.642,arjunswaj/Java8
YES,17937004,0,387,38,28,62,7,20672,3149,7,14,1,4873399.1936,hrldcpr/pcollections
YES,44437705,0,0,0,1,2,2,3124,2682,2,6,1,7.4976,hmarchadour/EasyCDO
NO,31990203,1,2,0,1,5,1,401,47,1,5,1,3.0075,ghxandsky/benchmarx
YES,21242000,0,0,0,1,4,1,178386,173344,1,4,1,285.4176,xm-king/netty-research
YES,39351683,0,1,0,1,5,1,330,135,1,2,1,0.66,patrickpilch/Flyweight-Test
YES,86826795,0,0,0,2,18,3,1217,1160,3,8,3,52.5744,Nawy/UnsafeCollections
NO,42431813,1,0,0,1,1128,31,24069,22848,31,2,1,168328.9584,eonezhang/servo
YES,47760367,0,0,0,1,2,2,80931,75627,2,783,1,25347.5892,lewadik/jhmbe
YES,36864499,0,57,13,5,82,3,1743,1337,3,1,2,2486.9124,robinst/autolink-java
