project;commit;benchmark;params;percentage;cov;ci;divergence
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=1000;0.889739435;0.338887103;0.053799281;0.998663821
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=1;0.910915786;0.33279905;0.05952952;0.994230004
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=10;1.178304206;0.371615653;0.054599304;0.998138299
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=100;0.978663863;0.326602081;0.056022813;0.997024031
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=1000;0.891383978;0.3033698;0.030069363;0.99784192
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=1;1.057736161;0.364453096;0.060704209;0.998572719
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=10;1.013846145;0.359971111;0.084752;0.998010807
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=100;0.893191066;0.286452977;0.033581393;0.99735133
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=1000;0.854947725;0.414865272;0.113905292;0.987156474
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=1;0.925619206;0.304433331;0.036820426;0.997641256
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=10;0.990026283;0.313094679;0.042170496;0.996442109
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=100;0.999291076;0.31323242;0.035981416;0.997680506
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=1000;1.069088433;0.339032304;0.06526596;0.994664157
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=1;0.994656502;0.191988724;0.055129517;0.997229696
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=10;1.009900962;0.163523254;0.043413326;0.97878659
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=100;0.885115818;0.16670478;0.062709141;0.994580751
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=1000;0.976556978;0.215200746;0.074177692;0.99837244
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=1;1.006925407;0.409694775;0.079518827;0.997192144
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=10;0.990926781;0.444011869;0.099567003;0.995600437
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=100;1.015743162;0.348534257;0.041022835;0.996303716
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=1000;1.008180527;0.387737471;0.095126154;0.994213661
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=1;1.031227245;0.41331418;0.062328551;0.993270205
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=10;0.980972271;0.297103084;0.045801029;0.995752954
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=100;1.051633352;0.422010372;0.055475485;0.995324735
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=1000;0.983663317;0.354279964;0.051308816;0.990865777
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=1;1.115318896;0.394976281;0.068811842;0.998330161
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=10;0.999591712;0.348633491;0.057597839;0.993726947
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=100;1.038033972;0.360485968;0.054090554;0.993678892
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=1000;1.005251841;0.448328225;0.108574012;0.997573451
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=1;0.927864646;0.401615383;0.055392221;0.998059257
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=10;0.963884524;0.413414818;0.059149473;0.997747596
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=100;1.003127114;0.311179607;0.047622105;0.97914135
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=1000;0.959210882;0.333589041;0.060177876;0.986947356
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=1;0.984053308;0.114238865;0.042753122;0.984147357
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=10;1.018717196;0.088193434;0.036616245;0.99909376
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=100;0.929002917;0.141320668;0.073552286;0.987720602
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=1000;1.01453204;0.076159245;0.036935067;0.996711197
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=1;0.98356269;0.090573861;0.018028506;0.961716317
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=10;0.973403003;0.079199937;0.0203212;0.992576163
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=100;0.925391734;0.097664559;0.013218595;0.990802694
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=1000;0.88214654;0.059396825;0.014941773;0.99702858
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=1;0.888079163;0.103468506;0.019726234;0.990264621
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=10;0.940326702;0.101621663;0.017809203;0.994071614
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=100;0.929169558;0.129862285;0.036057358;0.948402954
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=1000;0.954646312;0.040100389;0.012601669;0.994678578
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=32,work=1;0.963779328;0.084517305;0.025314961;0.977273841
