project;commit;benchmark;params;i96Cov;i97Cov;i98Cov;i99Cov;i100Cov;maxDeltaCov;i96Ci;i97Ci;i98Ci;i99Ci;i100Ci;maxDeltaCi;maxCi;i96Divergence;i97Divergence;i98Divergence;i99Divergence;i100Divergence;averageDivergence
log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedClock;;0.144513215;0.14422721;0.14352123;0.142822937;0.142914138;0.001599077;0.008417825;0.007840698;0.00905189;0.007204759;0.007638043;0.001413847;0.00905189;0.999607467;0.999227418;0.719194639;0.720964618;0.99272112;0.886343052
log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytes;;0.245269526;0.245266033;0.244678843;0.243833785;0.243412605;0.001856921;0.018777824;0.016694788;0.021377392;0.011771728;0.015331696;0.006045696;0.021377392;0.992264737;0.996225358;0.729209064;0.732338491;0.992954195;0.888598369
rxjava;;io.reactivex.ReducePerf.flowSingle;times=1000000;0.33877441;0.338094345;0.337586428;0.336887918;0.336218059;0.002556351;0.105809693;0.09920842;0.111206622;0.104096646;0.106032675;0.006824254;0.111206622;0.99422482;0.417483668;0.439688376;0.815029083;0.996206059;0.732526402
log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.20446042;0.204751346;0.204976496;0.203960919;0.203518376;0.00145812;0.009412883;0.009416852;0.008585472;0.009436199;0.008147626;0.001288573;0.009436199;0.914002979;0.98375549;0.997332164;0.736682183;0.834129087;0.893180381
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithProperties;count=500&threadContextMapAlias=NoGcOpenHash;0.107033318;0.10651186;0.105985087;0.105821151;0.10551394;0.001519379;0.009507568;0.009142377;0.00896752;0.007380985;0.009087557;0.001706572;0.009507568;0.997541527;0.99367674;0.992710694;0.741729572;0.751871288;0.895505964
rxjava;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsObservable;times=1000;0.158140987;0.157390651;0.156696619;0.155954869;0.155404947;0.00273604;0.013062083;0.007600738;0.011939111;0.008033606;0.015976499;0.008375762;0.015976499;0.393310488;0.390564574;0.998102988;0.983667644;0.99652706;0.752434551
log4j2;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createLogEventWithoutExceptionUsingBuilder;;0.444895608;0.443226116;0.44196684;0.440308818;0.438723456;0.006172152;0.055161649;0.042004621;0.045237296;0.03118237;0.039115066;0.016046583;0.055161649;0.769321362;0.997568709;0.76717312;0.992674796;0.993196509;0.903986899
log4j2;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap1Element;;0.313783185;0.312331704;0.310893246;0.311179207;0.31164027;0.002142915;0.034847138;0.033951024;0.039038393;0.043106546;0.034144143;0.008962403;0.043106546;0.862462029;0.799373335;0.788218441;0.988482256;0.768268544;0.841360921
log4j2;;org.apache.logging.log4j.perf.jmh.MDCFilterBenchmark.baseline;size=0;0.128974857;0.128390643;0.127756583;0.127134878;0.12659438;0.002380477;0.007979995;0.007819537;0.012021117;0.006748034;0.009186713;0.002834405;0.012021117;0.770056539;0.999397459;0.993506696;0.987295589;0.994103216;0.9488719
log4j2;;org.apache.logging.log4j.perf.jmh.Log4jLogEventBenchmark.createLogEventWithExceptionUsingBuilder;;0.471542758;0.470071479;0.468694895;0.468448354;0.467631985;0.003910773;0.049564171;0.052147026;0.057479751;0.048767271;0.048888542;0.008591209;0.057479751;0.956258222;0.96988941;0.973293588;0.970995943;0.779048322;0.929897097
rxjava;;io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable;items=1000&maxConcurrency=256;0.103845995;0.103478435;0.103118893;0.102808839;0.102458986;0.001387009;0.031172142;0.033017786;0.031321436;0.031476274;0.034226963;0.003054821;0.034226963;0.796168381;0.676205396;0.784381603;0.991742942;0.653083942;0.780316453
rxjava;;io.reactivex.xmapz.ObservableConcatMapCompletablePerf.observableConvert;count=1000000;0.113103071;0.112865228;0.112587871;0.112383859;0.112114782;9.88E-04;0.042579331;0.041438461;0.040289328;0.041122088;0.04596528;0.005675952;0.04596528;0.559663309;0.72193049;0.956551249;0.975527265;0.688079846;0.780350432
rxjava;;io.reactivex.EachTypeFlatMapPerf.nbpRange;times=1000000;0.237855561;0.237726302;0.237604719;0.23732224;0.237071317;7.84E-04;0.068766088;0.074111316;0.073898396;0.075290893;0.072495445;0.003729357;0.075290893;0.45734043;0.464627728;0.9954782;0.993618295;0.990840823;0.780381095
rxjava;;io.reactivex.XMapYPerf.flowFlatMapMaybe1;times=1000;0.100887122;0.100556175;0.100212941;0.099871307;0.099477654;0.001409468;0.030346174;0.027261313;0.03518856;0.028004108;0.028657417;0.006531143;0.03518856;0.756542298;0.585113323;0.992918488;0.752407554;0.816326634;0.780661659
rxjava;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1000000;0.210843946;0.209928915;0.209188812;0.208766106;0.208968556;0.001875389;0.020276972;0.016801184;0.019242948;0.017629975;0.020652235;0.003851052;0.020652235;0.984391811;0.730664899;0.731300286;0.732527597;0.730594203;0.781895759
rxjava;;io.reactivex.XMapYPerf.obsFlatMapMaybe0;times=1000;0.08569301;0.085429096;0.085142807;0.084847371;0.084927261;7.66E-04;0.025571643;0.024279561;0.025734241;0.02793375;0.02812347;0.003843909;0.02812347;0.479094533;0.988347251;0.961889817;0.742614771;0.740102488;0.782409772
rxjava;;io.reactivex.ObservableFlatMapPerf.flatMapXRange;count=1000000;0.040472503;0.0403899;0.040286002;0.040200525;0.040118819;3.54E-04;0.005187526;0.005046228;0.005015001;0.004558298;0.004175613;0.001011913;0.005187526;0.99685557;0.717075607;0.721216223;0.751447888;0.750417118;0.787402481
log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;0.971366872;0.970858883;0.970804145;0.97088075;0.970958775;4.08E-04;0.114420535;0.099739404;0.106215536;0.111385184;0.103468692;0.010951843;0.114420535;0.973106998;0.989550422;0.993977857;0.790856016;0.835009811;0.916500221
rxjava;;io.reactivex.xmapz.ObservableFlatMapMaybeEmptyPerf.observableDedicated;count=100;0.141982323;0.141972773;0.141377112;0.140944692;0.140367995;0.001614328;0.023313004;0.024674898;0.025018594;0.023329883;0.022626816;0.002391778;0.025018594;0.601604063;0.937978813;0.736094246;0.973337046;0.718079739;0.793418781
rxjava;;io.reactivex.BlockingPerf.flowableBlockingFirst;times=1000000;0.556761226;0.557909616;0.558061929;0.556088435;0.555586258;0.002475671;0.050942852;0.059831165;0.058211201;0.057543306;0.06551334;0.014570488;0.06551334;0.748952747;0.750628791;0.753330808;0.749803463;0.989009606;0.798345083
rxjava;;io.reactivex.xmapz.ObservableFlatMapMaybePerf.observableConvert;count=1;0.314512052;0.312997961;0.311563456;0.310108782;0.30865551;0.005856541;0.015852134;0.010955798;0.015953891;0.027935231;0.019431128;0.008504104;0.027935231;1;1;1;0;0.994631234;0.798926247
rxjava;;io.reactivex.xmapz.FlowableConcatMapCompletablePerf.flowableConvert;count=1000;0.090383218;0.090024669;0.08980165;0.089523797;0.08922807;0.001155148;0.023415181;0.027015401;0.022261952;0.024344586;0.023434613;0.003580788;0.027015401;0.337688729;0.995252329;0.758055074;0.968857549;0.942345033;0.800439743
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithoutProperties;count=500&threadContextMapAlias=Default;0.122745665;0.122145477;0.121550877;0.120994285;0.120404529;0.002341136;0.006574888;0.004137677;0.004704804;0.005839109;0.004610382;0.001964506;0.006574888;0.994690851;0.9963676;0.999461591;0.811181588;0.803893819;0.92111909
rxjava;;io.reactivex.FlattenRangePerf.observable;times=1000000;0.055118755;0.055320272;0.055464521;0.055675826;0.055859303;7.41E-04;0.022770615;0.019767614;0.020081403;0.023693199;0.021347028;0.002346171;0.023693199;0.625566467;0.473197493;0.997602865;0.991545102;0.946918855;0.806966156
rxjava;;io.reactivex.StrictPerf.internal;count=10000&cpu=1000;0.018373081;0.01831294;0.018225814;0.018275764;0.018284624;8.85E-05;0.002424843;0.002419267;0.001784413;0.001828178;0.002078273;3.47E-04;0.002424843;0.685877511;0.997491072;0.996972119;0.685273818;0.687614825;0.810645869
