project;commit;benchmark;params;percentage;mean
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=100;1.0031271140876508;3.576841844184422E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=1000;0.9592108821985192;3.7556382838283865E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=1;0.9840533077493154;0.005877941247399967
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=10;1.0187171964016666;0.005776841933200006
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=100;0.929002916802188;0.005691224575600002
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=1,work=1000;1.0145320403534497;0.0061068464126000244
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=1;0.9835626897700409;2.6975186315894594E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=10;0.9734030031272692;2.522564095999995E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=100;0.925391733838312;2.5496632319999864E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=128,work=1000;0.8821465403630361;2.639207664766469E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=1;0.8880791630005094;2.5269153670734034E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=10;0.9403267019883336;2.555506175999999E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=100;0.9291695584170074;2.4325589597919478E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=256,work=1000;0.9546463115672964;2.582541518151813E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=32,work=1;0.9637793279684101;2.575795456000007E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=32,work=10;0.9618525813983668;2.5411311691169125E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=32,work=100;0.9214965115207977;2.456498833883394E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=32,work=1000;0.8595420009580748;2.5156508160000007E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=8,work=1;0.9127337726384016;2.515897856000006E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=8,work=10;0.8455779835174994;2.4354072734547103E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=8,work=100;0.8749604045797689;2.4713861120000043E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100,maxConcurrency=8,work=1000;0.9854975753490738;2.6345228800000135E-4
