"project","className","benchmarkName","warmupIterations","warmupIterationsDefault","warmupTime","warmupTimeDefault","measurementIterations","measurementIterationsDefault","measurementTime","measurementTimeDefault","forks","forksDefault","warmupForks","warmupForksDefault","modeIsThroughput","modeIsAverageTime","modeIsSampleTime","modeIsSingleShotTime","modeDefault","stars","projectForks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks","nothingSet","parameterizationCombinations"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.HashBenchmark","murmur","","1","","1","","1","","1","1","0","","1","0","1","0","0","0","1","1","2","219","1","38","0","2"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.EventTest","aRegister","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.EventTest","bCall","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ReflectVsNormal","NormalInvoke","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.ReflectVsNormal","ReflectInvoke","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SynchronizationTest","synchedMap","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SynchronizationTest","synchSynchedMap","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest","testInsertion","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","1","2","219","1","38","0","2"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest","testInsertion0","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","1","2","219","1","38","0","2"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest","testRemoval","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","1","2","219","1","38","0","2"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.SetStructTest","testRemoval0","","1","","1","","1","","1","","1","","1","0","1","0","0","0","1","1","2","219","1","38","0","2"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.UnsafeProviderTest","getUnsafe","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.UnsafeProviderTest","getUnsafe0","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","readVol","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","writeVol","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","readAto","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","writeAto","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","writeAto0","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","readUnsafe","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","readReg","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","writeReg","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","writeUnsafe","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.AtomicVsVolatile","writeUnsafe0","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.LockBenchmark","synched","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
"AgentTroll/TrollCommons","com.gmail.woodyc40.commons.LockBenchmark","rlock","","1","","1","","1","","1","","1","","1","","","","","1","1","1","2","219","1","38","1","1"
