project,computationFailed,aheadBy,behindBy,nothingChanged
jotak/hawkular-metrics,false,0,134,true
toyama0919/presto,false,1,9269,false
anuraaga/grpc-java,false,1,2055,false
jonefeewang/armeria,false,0,1090,true
Poxos/collections-m0e4,false,0,4,true
achmadns/jmh-samples,false,1,0,false
fengshao0907/servo,false,0,148,true
sakuna63/requery,false,0,327,true
PhantomYdn/orientdb,false,1,7967,false
jMotif/fastdtw,false,0,0,true
EmteZogaf/rxjava-jdbc,false,0,83,true
dpolivaev/rest-schemagen,false,0,37,true
sdeleuze/reactor-core,false,0,678,true
ccortezb/servo,false,0,146,true
sensaid/servo,false,0,139,true
fischmax/rest-schemagen,true,,,
rschmitt/invokedynamic-proxy,false,1,0,false
DealerDotCom/togglz,false,1,112,false
orbit/orbit,true,,,
K0zka/benchmarx,true,,,
antag99/artemis-odb,false,0,801,true
tsouza/elasticsearch,false,0,9102,true
aaronzirbes/RxGroovy,false,0,8,true
jsirois/pants,false,0,15,true
247687009/tchannel-java,false,0,466,true
julianhyde/calcite,false,1,2,false
comsysto/jmh-gradle-plugin,false,0,228,true
martijnvg/elasticsearch,false,1,5462,false
aslanbekirov/crate,true,,,
Infeligo/jgrapht,false,0,1808,true
keycai/jmh-gradle-plugin,false,0,236,true
underyx/pgjdbc,false,1,781,false
cotsog/tchannel-java,false,0,466,true
ydai1124/gobblin-1,false,1,886,false
rhauch/kafka,false,0,3144,true
xquery/marklogic-jena-1,false,0,82,true
gjroelofs/artemis-odb,false,0,676,true
ambro2/jabref,false,1,4796,false
jtulach/mx,false,0,2076,true
grechaw/marklogic-jena,false,0,37,true
cthiebaud/jgrapht,false,0,1808,true
phensley/less-compiler,false,0,4,true
taer/lettuce,false,1,818,false
snorrees/artemis-odb,false,0,535,true
shiningguang/tchannel-java,false,0,466,true
wselwood/jgrapht,true,,,
nickrobson/TridentSDK,false,0,171,true
eonezhang/grpc-java,false,1,2633,false
moujian/grpc-java,false,1,3072,false
pisfly/Chronicle-Queue,false,0,3557,true
mehant/incubator-calcite,false,0,2266,true
charlesccychen/incubator-beam,false,0,4358,true
stealthcode/RxJava,false,0,2674,true
andy32323/inspectIT,false,1,23,false
salyh/a-foundation,false,0,45,true
franz1981/activemq-artemis,false,0,2915,true
voidException/java-8-lambdas-exercises,false,0,25,true
Henning-Schulz/inspectIT,false,1,276,false
foursquare/fongo,true,,,
pombredanne/druid,false,1,3804,false
jbonofre/incubator-beam,false,0,12405,true
glimpseio/incubator-calcite,false,0,1980,true
chhh/javolution,false,0,0,true
martint/slice,false,0,221,true
jacques-n/incubator-calcite,false,0,2774,true
longbai/okio,false,1,601,false
nvoron23/incubator-calcite,true,,,
golovnin/pgjdbc,false,0,82,true
daququ/airlift,false,0,685,true
marcust/stagemonitor,false,1,1106,false
klya/mxcache,false,0,13,true
sonia1985/java-8-lambdas-exercises,true,,,
akochurov/mxcache,false,0,38,true
wr0ngc0degen/java-8-lambdas-exercises,false,0,25,true
didvae/feign,false,1,396,false
cberner/airlift,false,0,679,true
skinzer/sparkey-java,false,0,48,true
rcpoison/jgrapht,true,,,
weebl2000/java-8-lambdas-exercises,false,0,24,true
