"project","className","jmhVersion","benchmarkName","executionTimePercentage","warmupTimePercentage","measurementTimePercentage","measurementWarmupRatio","stars","forks","watchers","numberOfCommits","numberOfContributors","numberOfBenchmarks"
"akarnokd/akarnokd-misc","hu.akarnokd.asyncenum.IAsyncEnumerablePerf","1.21","rangeAsyncClassic_px","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.iterables.LambdaSingletonPerf","1.21","lambda","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","dispatchWorkSubject","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","dispatchWorkProcessor","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","dispatchWorkProcessorUnbounded","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","workQueueProcessorParking","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","workQueueProcessorBlocking","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","workQueueProcessorLiteBlocking","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","workQueueProcessorBusySpin","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","workQueueProcessorSleeping","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","workQueueProcessorYielding","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","flowableParallel","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.WorkQueuePerf","1.21","fluxParallel","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ParallelPerf","1.21","parallelStream","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ParallelPerf","1.21","parallelFlowable","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ParallelPerf","1.21","parallelFlowableForkJoin","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf","1.21","baseline","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf","1.21","syncSync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf","1.21","syncAsync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf","1.21","asyncSync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.ZipPerf","1.21","asyncAsync","0.11","0.2","0.02","0.1","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithStreamsBeta","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithRscOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithRxJava2FlowableOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
"akarnokd/akarnokd-misc","hu.akarnokd.comparison.scrabble.ShakespearePlaysScrabbleWithGuavaOpt","1.21","measureThroughput","0.02","0.02","0.02","1.0","37","10","6","235","2","368"
