project;benchmark;params;time
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput8Params;;561.547
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params;;562.563
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput10Params;;562.391
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput11Params;;564.071
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersLocationBenchmark.throughputSimple;;563.871
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.baseline;;560.015
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemCurrentTimeMillis;;560.414
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemClock;;560.283
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.cachedClock;;559.973
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock;;560.207
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.coarseCachedClock;;560.248
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedClock;;560.018
log4j2;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedFinalClock;;560.077
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.testBaseline;;560.478
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap1Element;;559.643
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;560.179
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList1Element;;560.415
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap3Elements;;560.017
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet3Element;;560.304
log4j2;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;560.154
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE;635.625
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;654.716
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=SYNCHRONOUS;636.45
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG&queueFullPolicy=ENQUEUE;641.972
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG&queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;646.529
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG&queueFullPolicy=SYNCHRONOUS;637.301
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE;579.54
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;579.819
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT&queueFullPolicy=SYNCHRONOUS;581.304
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG&queueFullPolicy=ENQUEUE;579.009
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG&queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;580.071
log4j2;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG&queueFullPolicy=SYNCHRONOUS;579.778
log4j2;org.apache.logging.log4j.perf.jmh.ConfiguratorInitializeBenchmark.initializeLoggerContext;;560.551
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.baseline;;562.444
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jIsDebugEnabled;;562.684
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jIsDebugEnabled;;561.792
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicIsDebugEnabled;;562.935
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugStringConcatenation;;563.037
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugStringConcatenation;;563.003
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenation;;563.635
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugParameterizedString;;561.952
log4j2;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugParameterizedString;;563.142
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2RAF;;574.109
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2AsyncAppender;;571.484
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2AsyncDisruptor;;574.135
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2AsyncLogger;;577.357
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j2File;;572.578
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.logbackFile;;577.419
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.logbackAsyncFile;;575.734
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.log4j1File;;575.055
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderBenchmark.julFile;;567.106
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1Log4j1Concat;;573.971
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3Log4j1Concat;;573.44
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1Log4j2RAF;;572.627
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3Log4j2RAF;;570.041
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1Log4j2File;;573.258
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3Log4j2File;;574.293
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1LogbackFile;;578.117
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3LogbackFile;;574.625
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param1JulFile;;569.462
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderParamsBenchmark.param3JulFile;;568.045
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j1;;571.703
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j1;;569.856
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j2Throwable;;575.092
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2Throwable;;573.976
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ThrowableAsync;;570.388
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.log4j2ExtendedThrowable;;570.409
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ExtendedThrowable;;569.28
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLog4j2ExtendedThrowableAsync;;569.6
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.logbackFile;;578.888
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.complexLogbackFile;;576.221
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.julFile;;572.576
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.log4j2RAF;;565.47
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.log4j2File;;565.451
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.logbackFile;;565.202
log4j2;org.apache.logging.log4j.perf.jmh.FileAppenderWithLocationBenchmark.log4j1File;;564.635
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputBaseline;;562.23
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputParameterizedString;;598.91
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputParameterizedDouble;;587.75
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatString;;598.704
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.throughputStringFormatDouble;;578.832
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyBaseline;;562.391
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyParameterizedString;;592.808
log4j2;org.apache.logging.log4j.perf.jmh.FormatterLoggerBenchmark.latencyParameterizedDouble;;585.964
