project;commit;benchmark;params;effectSize5;effectSize10;effectSize15;effectSize20;effectSize25;wilcoxon5;wilcoxon10;wilcoxon15;wilcoxon20;wilcoxon25;ciRatio5;ciRatio10;ciRatio15;ciRatio20;ciRatio25
rxjava;;io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain;count=1;0.015512901;0.003973292;0.006428858;3.48E-04;0.01467648;0.057560281;0.626678032;0.431191455;0.965971256;0.072342761;0.0017815;8.60E-06;0.0017775;0;9.74E-04
rxjava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10000&maxConcurrency=32&work=1000;0.35894369;0.14254805;0.1819589;0.13127171;0.07414018;0;2.99E-68;5.19E-110;3.70E-58;1.09E-19;0.006228;0;0.003473;0.002564;0.004231
rxjava;;io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain;count=1000000;0.00763747;0.00650817;0.01477027;0.02420547;0.01351198;0.349596705;0.425413365;0.070460944;0.003031965;0.097958692;2.61E-04;0;0;2.65E-04;0
rxjava;;io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable;items=10&maxConcurrency=32;0.004928203;0.005229856;0.001343069;0.010848585;0.003229259;0.546143573;0.521863264;0.86935384;0.183977189;0.692501774;0.00166;0;0;0;4.24E-04
rxjava;;io.reactivex.xmapz.FlowableFlatMapSinglePerf.flowableConvert;count=10000;0.10830814;0.07738795;0.1142031;0.09969785;0.13367258;3.71E-40;2.60E-21;1.88E-44;2.74E-34;3.08E-60;0;0.00145;0;5.84E-04;0
rxjava;;io.reactivex.xmapz.FlowableFlatMapSinglePerf.flowableDedicated;count=100;0.01889165;0.056981008;0.026544784;0.01880907;0.01754058;0.020684881;2.99E-12;0.001150418;0.02124659;0.031696296;0;0.001679;8.37E-04;0;1.48E-04
rxjava;;io.reactivex.BinaryFlatMapPerf.singleFlattenAsPublisher;times=1;0.01390677;0.015059338;0.016055909;0.021035816;0.013985829;0.088693513;0.065275003;0.049344448;0.010018471;0.086863681;9.84E-04;0;2.62E-04;0;4.82E-04
rxjava;;io.reactivex.StrictPerf.internal;count=10000&cpu=10;3.13E-04;0.00716606;0.00152433;0.00635893;0.0207264;0.969444195;0.380140427;0.851906153;0.436105067;0.011136325;3.31E-04;0;4.62E-04;0;1.61E-04
rxjava;;io.reactivex.BlockingGetPerf.observableBlockingFirst;;0.035503157;0.003160028;0.009562986;0.005594504;0.002676723;1.38E-05;0.698803839;0.24165086;0.493335918;0.743089538;0.004062;0.002497;8.34E-04;0.001877;2.18E-04
rxjava;;io.reactivex.BinaryFlatMapPerf.maybeFlatMapHidePublisher;times=1;0.008094764;0.001814437;0.015279109;0.003824471;0.005533672;0.321816183;0.824266333;0.061485142;0.639699462;0.498166332;0;0;2.58E-04;0.001414;2.82E-04
rxjava;;io.reactivex.xmapz.FlowableSwitchMapCompletablePerf.flowableConvert;count=1000;0.052013793;0.065926174;0.094764601;0.070681812;0.047227336;1.92E-10;6.97E-16;4.14E-31;5.04E-18;7.39E-09;0;0.0058868;0.0074083;0.0058861;0
rxjava;;io.reactivex.StrictPerf.internal;count=1&cpu=10;0.019988336;0.025451427;0.037621266;0.026606566;0.03167616;0.014453319;0.001836249;4.18E-06;0.001129545;1.06E-04;0.0028463;0.0035842;0.0029208;1.05E-04;0.0045674
rxjava;;io.reactivex.XMapYPerf.flowFlatMapSingle1;times=10000;0.01780054;0.08323462;0.09815672;0.11079168;0.10454302;0.029253199;2.11E-24;2.74E-33;6.13E-42;1.57E-37;0.0046028;0;0;0;0
