project;commit;benchmark;param;i6;i7;i8;i9;i10
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;0.042976154;0.008253172;0.013791349;0.01631339;0.012406481
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE;0.479238728;0.465360735;0.013770499;0.009263116;0.012728046
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.01126571;0.408900894;0.350836117;0.275916948;0.409173816
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=SYNCHRONOUS;0.028375447;0.005550923;0.006993049;0.006207832;0.004492818
;;org.apache.logging.log4j.perf.jmh.ConfiguratorInitializeBenchmark.initializeLoggerContext;;0.288764872;0.088982028;0.011937336;0.008945386;0.007353323
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.baseline;;0.031461836;0.028058237;0.041079826;0.028698006;0.006526144
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenation;;0.323499551;0.314518695;0.318868591;0.317300339;0.320911229
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicIsDebugEnabled;;0.651196291;0.690707501;0.034710327;0.304240269;0.308055643
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugParameterizedString;;0.906289315;0.603250765;0.035572127;0.050150275;0.009174331
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jDebugStringConcatenation;;0.657158543;0.653342929;0.662534627;0.046296629;0.013521833
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jIsDebugEnabled;;0.420282829;0.308808461;0.303257952;0.012393196;0.034433044
;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jDebugParameterizedString;;0.431661231;0.430681107;0.422786184;0.027945359;0.030315891
