project;commit;benchmark;param;i9;i10;i10 - i9;i90;i100;i100 -i90
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput4Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.995397558;0.990620444;-0.004777114;0.991908545;0.994452569;0.002544024
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.985224121;0.98675764;0.001533519;0.997543178;0.998886686;0.001343508
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.988312616;0.99374321;0.005430594;0.992567865;0.99263682;6.90E-05
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.995072942;0.991516643;-0.003556299;0.996245604;0.989580632;-0.006664972
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput5Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.986803827;0.997673155;0.010869328;0.997332832;0.995831548;-0.001501284
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.983070749;0.993119454;0.010048705;0.99473336;0.99263214;-0.00210122
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.991949332;0.987892388;-0.004056944;0.995547425;0.995170456;-0.000376969
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.994402594;0.998204331;0.003801737;0.998210861;0.997456715;-0.000754146
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.995620299;0.988735844;-0.006884455;0.996557872;0.993021718;-0.003536154
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.995166458;0.984079668;-0.01108679;0.997213202;0.990856022;-0.00635718
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.995184;0.986342994;-0.008841006;0.991981514;0.986009159;-0.005972355
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.991931605;0.977386315;-0.01454529;0.995672363;0.994832136;-0.000840227
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.994136626;0.989096616;-0.00504001;0.993630817;0.994631876;0.001001059
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.996524515;0.997046185;0.00052167;0.991232916;0.995739234;0.004506318
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.99395526;0.99526546;0.0013102;0.99797183;0.995877546;-0.002094284
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.996031585;0.995474364;-0.000557221;0.995452167;0.992322645;-0.003129522
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.997982167;0.991569166;-0.006413001;0.995541161;0.989993361;-0.0055478
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.993804722;0.991138421;-0.002666301;0.997584305;0.977812323;-0.019771982
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.996393145;0.989067215;-0.00732593;0.999947986;0.999097856;-0.00085013
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.997844239;0.998161324;0.000317085;0.994105336;0.991039981;-0.003065355
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.996633021;0.99654677;-8.63E-05;0.995961423;0.980103281;-0.015858142
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.991397999;0.993531059;0.00213306;0.997880366;0.998626286;0.00074592
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.994111182;0.990846463;-0.003264719;0.993433512;0.99562935;0.002195838
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.997349842;0.997558355;0.000208513;0.988681862;0.996167729;0.007485867
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.997325165;0.995732284;-0.001592881;0.990753156;0.995688334;0.004935178
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;0.992893023;0.997238082;0.004345059;0.984425071;0.998474035;0.014048964
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml;0.910677929;0.991750419;0.08107249;0.996165773;0.99354395;-0.002621823
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndWithLoc-noOpAppender.xml;0.994021403;0.980004953;-0.01401645;0.941059734;0.920271716;-0.020788018
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;0.84996564;0.936790615;0.086824975;0.996376879;0.995712803;-0.000664076
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;0.981956813;0.976840951;-0.005115862;0;0;0
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput11Params;;0.995101644;0.968856857;-0.026244787;0.996234735;0.999132636;0.002897901
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput1Param;;0.996054909;0.957318469;-0.03873644;0.997502905;0.998802851;0.001299946
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput2Params;;0.980817271;0.990919386;0.010102115;0.997895056;0.992558226;-0.00533683
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput3Params;;0.960150897;0.942637952;-0.017512945;0.99445335;0.991154442;-0.003298908
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput4Params;;0.993598734;0.995134878;0.001536144;0.995395492;0.992774706;-0.002620786
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;0.996148659;0.985155994;-0.010992665;0.990292176;0.992876003;0.002583827
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params;;0.989526204;0.995138528;0.005612324;0;0;0
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;0.980196405;0.944377916;-0.035818489;0.996275641;0.433706446;-0.562569195
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;0.990430736;0.988519412;-0.001911324;0.991632859;0.993416316;0.001783457
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;0.931119106;0.98253425;0.051415144;0.991945156;0.99702316;0.005078004
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.999198768;0.99425972;-0.004939048;0.999296271;0.997167193;-0.002129078
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;0.996488331;0.977607028;-0.018881303;0.986960658;0.995408588;0.00844793
