project;commit;benchmark;param;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.986150922;0.995786305;0.992118281;0.992313714;0.992173496;0.99469643;0.989836878;0.996633021;0.99654677
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.98020703;0.958724159;0.994412198;0.992035199;0.990635852;0.996599433;0.991741447;0.991397999;0.993531059
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.91212212;0.969803659;0.984713107;0.987325636;0.991413597;0.997309994;0.995096319;0.994111182;0.990846463
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.991456004;0.993980639;0.999426422;0.994774427;0.996645367;0.99362295;0.990882928;0.997349842;0.997558355
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.990888543;0.997389851;0.993867185;0.990257481;0.997379701;0.994753516;0.990733403;0.997325165;0.995732284
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;0.87394396;0.769064989;0.956349864;0.966593249;0.995702328;0.991501633;0.98964041;0.992893023;0.997238082
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml;0.668309658;0.962626626;0.952165664;0.990214529;0.961717324;0.978983743;0.991013825;0.910677929;0.991750419
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndWithLoc-noOpAppender.xml;0.929176535;0.889698588;0.814571489;0.877961179;0.9893676;0.995000338;0.986313793;0.994021403;0.980004953
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;0.898470134;0.875517297;0.968758241;0.931794513;0.984557447;0.979420037;0.994425584;0.84996564;0.936790615
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;0.895925385;0.985612341;0.98628176;0.996106188;0.996381903;0.978143105;0.992991885;0.981956813;0.976840951
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput11Params;;0.960132111;0.988986287;0.959553222;0.948773766;0.990848418;0.943614657;0.998838634;0.995101644;0.968856857
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput1Param;;0.985447854;0.773095054;0.99164887;0.994998579;0.997779203;0.992481324;0.95521217;0.996054909;0.957318469
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput2Params;;0.995526922;0.987934742;0.963385628;0.997131604;0.975323343;0.963437275;0.976971417;0.980817271;0.990919386
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput3Params;;0.986477599;0.996995128;0.985755786;0.975021971;0.996243259;0.968896426;0.973927494;0.960150897;0.942637952
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput4Params;;0.926227277;0.996984597;0.751918416;0.97742546;0.993290526;0.651798859;0.997998136;0.993598734;0.995134878
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;0.992859085;0.996803674;0.991331809;0.990600801;0.989930331;0.992029969;0.985535856;0.996148659;0.985155994
