project;commit;benchmark;params;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;1.282018712;1.291244832;1.309162598;1.316770663;1.321006151;1.32495632;1.325305999;1.323886036;1.3224974;1.323492185
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput11Params;;1.221198287;1.200329952;1.208915854;1.205796955;1.199763201;1.180367302;1.179043749;1.184069412;1.184698766;1.185143739
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput1Param;;1.244517103;1.194165532;1.211751131;1.218790943;1.339867236;1.458366683;1.434159952;1.468131207;1.503936221;1.523739994
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput2Params;;1.488563519;1.424852402;1.475677804;1.481489755;1.468796462;1.429721968;1.447944482;1.420539262;1.442856187;1.465183421
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput3Params;;1.501896422;1.408823094;1.437334561;1.491054139;1.480731203;1.47008861;1.460324786;1.437474057;1.422071318;1.407549616
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput4Params;;1.28189191;1.406709353;1.36926485;1.355833591;1.361907787;1.456912937;1.475129028;1.46608764;1.471834159;1.457942233
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;1.354901711;1.376586448;1.39651179;1.395341691;1.405408592;1.408124655;1.4084852;1.413033041;1.415843911;1.414883229
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params;;1.321336227;1.362786431;1.347106975;1.355914874;1.369067807;1.378382439;1.385899037;1.39443051;1.392047859;1.399093089
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;1.193898459;1.242150806;1.28166333;1.310052442;1.315388625;1.313197704;1.293317635;1.280713648;1.262870989;1.254429168
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;1.283803199;1.244592912;1.264107858;1.271211537;1.264619389;1.250840929;1.263458591;1.277954487;1.285018755;1.288559419
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;1.238725183;1.287364732;1.30454337;1.312411649;1.316928814;1.330412543;1.335819697;1.343226407;1.34876598;1.344800354
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;1.280088203;1.429859932;1.392150944;1.447296145;1.433641557;1.514012672;1.511689038;1.530687061;1.512107382;1.493202904
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;0.081409404;0.082602703;0.081431253;0.073268479;0.069512027;0.072383233;0.070547023;0.067234239;0.06398923;0.06109571
